火车站名	经纬度
繁昌西	118.205424318305,31.1079585935863
繁峙	113.271408272513,39.1952374307341
范镇	97.3911088501482,37.3211276774614
方城	113.018502752795,33.2605394558318
方正	128.840626463363,45.8400200845757
防城港北	108.360418838298,21.6930052899694
肥西	117.164557813724,31.7129621327169
费县	117.984425083182,35.272304128517
费县北	117.984425083182,35.272304128517
分宜	114.682496376358,27.8158945043496
汾河	97.3911088501482,37.3211276774614
汾阳	111.92352349209,37.3787262457791
丰城	115.797941102315,28.1902302378591
丰城东	115.871741750785,28.0846536692108
丰都	107.737480618199,29.869412789214
丰乐镇	105.488722791732,28.7586609149873
丰水村	97.3911088501482,37.3211276774614
丰顺东	116.188453820942,23.745738303255
丰镇	113.170650194309,40.4417224446703
风陵渡	97.3911088501482,37.3211276774614
枫林	97.3911088501482,37.3211276774614
峰洞	97.3911088501482,37.3211276774614
峰高铺	105.67954920234,29.4332789374555
冯屯	97.3911088501482,37.3211276774614
凤城东	124.064946205595,40.4583717353727
凤凰城	97.3911088501482,37.3211276774614
凤凰古城	97.3911088501482,37.3211276774614
凤凰机场	97.3911088501482,37.3211276774614
凤台南	97.3911088501482,37.3211276774614
凤县	106.522557821868,33.9165830163435
凤州	97.3911088501482,37.3211276774614
奉化	121.413527767193,29.6611464127798
奉节	109.47047275631,31.0246017665492
扶沟南	114.40150984137,34.0659062539692
扶绥南	107.910465154265,22.6410971363454
扶余	126.056606211102,44.9941684211506
扶余北	126.056606211102,44.9941684211506
芙蓉南	113.039407744873,28.1919132473047
芙蓉镇	114.787684088828,26.4708050944258
佛坪	107.997424284435,33.5306931015877
佛山西	113.040422650437,23.0856563842121
浮梁东	117.239827714895,29.3782062234964
浮图峪	97.3911088501482,37.3211276774614
涪陵	107.396419797541,29.7092781979787
涪陵北	107.284263300419,29.7764291016987
福安	119.65440636048,27.0943235080599
福鼎	120.19579155556,27.2880191018981
福海	87.4922468136902,47.1156958502308
福海西	87.4922468136902,47.1156958502308
福利区	97.3911088501482,37.3211276774614
福利屯	97.3911088501482,37.3211276774614
福清	119.391821778639,25.6818021868721
福清西	119.390465247489,25.7263432990346
福泉	107.520952339501,26.7043246268648
福山口	97.3911088501482,37.3211276774614
福山镇	109.936328051564,19.8363302884271
福生庄	97.3911088501482,37.3211276774614
福田	114.063271032592,22.5446589691942
福州	119.323633024349,26.1115749783181
福州2	119.323633024349,26.1115749783181
福州南	119.323633024349,26.1115749783181
抚宁	119.255882929122,39.899987461579
抚顺北	123.924896603706,41.8944407993367
抚远	134.408404502415,48.3519450873204
抚州	116.364538768644,27.9548922534196
抚州东	116.364538768644,27.9548922534196
阜南	115.60254592516,32.6640973851251
阜宁东	119.809580748854,33.765078727087
阜宁南	119.809580748854,33.765078727087
阜新	121.644591275122,41.9930861693752
阜新南	121.644591275122,41.9930861693752
阜阳	115.595088641969,33.4964581945372
阜阳西	115.820436124913,32.8960609948522
复盛	106.805238922973,29.6598670898424
富川	111.317298231939,24.813973275591
富海	97.3911088501482,37.3211276774614
富锦	132.050767286362,47.2580556935935
富拉尔基	123.6549927086,47.2161380164076
富宁	105.637490179054,23.6313804095205
富平	109.188460880441,34.7516599334302
富顺	104.981494406029,29.1868862578306
富县东	109.386596533554,35.9933679779686
富阳	119.966555684178,30.0547229673038
富阳西	119.838931623764,30.0267863833793
富裕	124.481381406573,47.8074633633545
富源	104.258747976005,25.6677950248988
富源北	104.261474243396,25.6802795021331
富蕴	89.5319534080555,46.9999510530545
嘎什甸子	121.364121071169,43.3265530842713
嘎什吐	114.124563225992,22.5398520253767
盖州	122.339598660051,40.424716183157
盖州西	122.355591282876,40.4061674572676
甘草店	104.297091978566,35.8001708658048
甘谷	105.339238748159,34.7692149625491
甘河	97.3911088501482,37.3211276774614
甘洛	102.778596513121,28.9648231905004
甘洛南	97.3911088501482,37.3211276774614
甘旗卡	122.363266764475,42.9643998629073
甘泉北	109.353089738032,36.283566946391
泔溪	97.3911088501482,37.3211276774614
赶水	106.717063859229,28.7530115479471
赶水东	97.3911088501482,37.3211276774614
橄榄坝	97.3911088501482,37.3211276774614
干塘	97.3911088501482,37.3211276774614
赣县北	115.018570164149,25.866384616621
赣榆	119.179434614967,34.8476824608462
赣州	114.96376400602,25.8480924160435
赣州西	114.940503372983,25.8351761034977
钢城	97.3911088501482,37.3211276774614
皋兰	103.95346415997,36.3381421486731
高安	115.367087818842,28.4468707745222
高碑店	97.3911088501482,37.3211276774614
高碑店东	97.3911088501482,37.3211276774614
高川	97.3911088501482,37.3211276774614
高村	103.862584118645,36.0395917397591
高谷	97.3911088501482,37.3211276774614
高家村	110.993261751731,38.4947508745414
高楞	97.3911088501482,37.3211276774614
高炉子	97.3911088501482,37.3211276774614
高密	119.762410996016,36.3889567064648
高密北	119.762410996016,36.3889567064648
高平	112.925352423955,35.807116818585
高平东	112.930412399231,35.8043367985775
高坪	106.125540472914,30.7872549315916
高台	99.8257595043373,39.383646046807
高台南	120.195591862245,22.9942694421367
高滩	97.3911088501482,37.3211276774614
高头	97.3911088501482,37.3211276774614
高兴	97.3911088501482,37.3211276774614
高邑	114.537174454742,37.6354964253159
高邑西	114.621200694518,37.6139097467307
高邮	119.470584234145,32.7737816840532
高邮北	119.462526972704,33.0082449438524
高州	110.859473864522,21.9240488967711
藁城南	114.853377904424,38.0278165553209
革居	97.3911088501482,37.3211276774614
格尔木	94.9134840688368,36.3888966383848
葛店南	97.3911088501482,37.3211276774614
葛根庙	122.321345980671,45.8977518187076
个旧	103.166518608488,23.3649415345833
根河	121.527585265939,50.7861404343179
公积坂	97.3911088501482,37.3211276774614
公庙子	97.3911088501482,37.3211276774614
公主岭	124.827902946418,43.5119129703141
公主岭南	124.820913949889,43.4802461984904
恭城	110.836768653781,24.8283405373343
巩义	113.028431004953,34.7540968886969
巩义南	113.028431004953,34.7540968886969
共和	100.626623480054,36.2887033178653
共青城	115.781368174136,29.2489519217037
贡嘎	90.9905823724984,29.2955859203405
沟帮子	97.3911088501482,37.3211276774614
沟口	97.3911088501482,37.3211276774614
孤山	97.3911088501482,37.3211276774614
孤山口	97.3911088501482,37.3211276774614
孤山子	97.3911088501482,37.3211276774614
姑家堡	116.535221412425,40.0132645551524
菇园	97.3911088501482,37.3211276774614
古北口	97.3911088501482,37.3211276774614
古城	100.232480339212,26.8831616840013
古城东	100.232480339212,26.8831616840013
古城镇	89.6230796848493,44.0055941446902
